,CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG
1227208,10-1-083407,-86.0215,319.006,-86.023,318.98900000000003,5.17908,0.048880900000000005,5.37045,5.09463,0.316355,1.0541399999999999,57.9608,0.000330095,0.0043872,0.027882799999999996,0.01492,3.29129,0.0169567,0.00628361,0.587852,34
1227215,10-1-083414,-86.1617,326.494,-86.1615,326.512,5.08978,0.0683784,5.23412,4.85279,0.374698,1.0785799999999999,86.4094,0.000214102,0.00431422,0.014837799999999998,0.0215857,2.27441,0.0121006,0.005689100000000001,0.787501,30
1227218,10-1-083417,-85.6572,323.751,-85.6568,323.73400000000004,8.71857,0.26802800000000004,8.99538,8.26726,0.39412600000000003,1.08807,35.1552,0.00147328,0.019885800000000002,0.106428,0.12781099999999998,6.460459999999999,0.0417219,0.021182299999999998,0.372699,44
1227270,10-1-083479,-84.8517,317.6,-84.8533,317.589,5.84098,0.064443,5.93997,5.61642,0.32553699999999997,1.05761,155.099,0.000337665,0.00327309,0.017209400000000003,0.029571899999999998,2.8023,0.016504599999999998,0.00635594,0.774235,50
1227306,10-1-083527,-83.8495,303.284,-83.8599,303.267,5.10275,0.193296,5.36112,4.12288,0.639208,1.30033,177.31799999999998,0.00160072,0.011439200000000002,0.059724400000000004,0.11501199999999999,3.26282,0.0277923,0.0390598,0.685247,31
1227316,10-1-083540,-84.0451,302.582,-84.0449,302.578,5.56499,0.140656,5.7830900000000005,5.35829,0.376187,1.07928,6.553059999999999,0.0009012610000000001,0.00861839,0.061092099999999996,0.0523432,7.3434800000000005,0.0328351,0.015529,0.7698,42
1227319,10-1-083544,-83.5248,297.64799999999997,-83.5248,297.64799999999997,6.54481,0.0828197,6.68585,6.39691,0.290802,1.0451700000000002,62.2618,0.00027540400000000004,0.00242147,0.020391,0.020177200000000003,3.31463,0.0138119,0.00458574,1.0,76
1227324,10-1-083549,-83.3253,304.418,-83.3254,304.41900000000004,6.9371100000000006,0.119252,7.057739999999999,6.78845,0.273598,1.03967,23.9774,0.00044771,0.00446913,0.0327852,0.03539,6.54287,0.023611,0.00725961,0.861869,60
1227384,10-1-083632,-82.7203,295.207,-82.7192,295.124,16.3911,0.525465,18.0935,15.3857,0.5262220000000001,1.1759899999999999,167.52900000000002,0.0009337999999999999,0.016831099999999998,0.136799,0.0666759,1.81962,0.011974799999999999,0.010248299999999998,0.766444,104
1227398,10-1-083652,-82.1518,294.685,-82.1484,294.69,5.51711,0.0592308,5.58073,5.22041,0.353498,1.06902,177.52599999999998,0.000549408,0.00213667,0.014233700000000002,0.038616500000000005,2.86463,0.019368700000000003,0.00836462,0.695346,39
1227399,10-1-083653,-82.3856,296.643,-82.3908,296.66,8.37566,0.162606,8.67936,7.73205,0.454288,1.12252,24.3659,0.000629683,0.00702274,0.0359641,0.0580266,2.41177,0.014976,0.00962292,0.699539,44
1227415,10-1-083675,-81.9203,290.635,-81.9189,290.638,6.4604099999999995,0.13638,6.842210000000001,6.171,0.431942,1.10877,88.5266,0.000299124,0.00165798,0.0221398,0.0161994,1.35886,0.00784663,0.00461989,0.861669,63
1227416,10-1-083676,-81.2943,289.469,-81.2984,289.51099999999997,13.1495,0.447837,15.5762,12.005,0.637165,1.29748,56.8898,0.00180182,0.0026748,0.148266,0.0429786,1.1588200000000002,0.00948112,0.013194999999999998,0.417758,50
1227422,10-1-083682,-81.4752,291.894,-81.475,291.901,7.1346300000000005,0.0469491,7.23543,6.96692,0.269897,1.03854,96.2094,0.00029230099999999996,0.00222994,0.0143355,0.023374900000000004,3.72059,0.0133852,0.00404663,0.7230810000000001,40
1227424,10-1-083686,-80.7163,292.76,-80.7122,292.77,6.36515,0.086363,6.780639999999999,6.244190000000001,0.389834,1.08591,72.2366,0.00113637,0.00576727,0.0868132,0.030590199999999998,4.6517800000000005,0.029820599999999996,0.0148861,0.695704,36
1227449,10-1-083714,-80.3297,290.23900000000003,-80.3298,290.23900000000003,5.34576,0.117434,5.60839,5.06677,0.42873999999999995,1.1069,101.12799999999999,0.000293904,0.00169322,0.021958599999999998,0.0214622,1.8203599999999998,0.010980799999999999,0.0063847999999999995,0.9527180000000001,58
1227465,10-1-083734,-80.6878,291.959,-80.6859,291.918,5.5043,0.13533,5.7552900000000005,4.841559999999999,0.540666,1.1887299999999998,84.5977,0.00024349599999999997,0.00203058,0.014172,0.0251196,0.8895770000000001,0.00751705,0.00682686,0.734638,40
1227469,10-1-083740,-79.9068,291.442,-79.9075,291.439,7.64895,0.151397,7.877330000000001,7.4379100000000005,0.329322,1.05908,61.6295,0.000672165,0.00355539,0.0536107,0.0446087,4.8238,0.0245579,0.00960714,0.917795,77
1227514,10-1-083799,-79.5899,290.175,-79.59,290.165,6.854889999999999,0.15822999999999998,7.1938699999999995,6.60427,0.396485,1.08928,19.2097,0.000735816,0.00702117,0.0800327,0.055534,6.00871,0.0296436,0.015190500000000001,0.786155,39
1227523,10-1-083808,-80.3712,288.369,-80.3714,288.35900000000004,5.05004,0.111561,5.277880000000001,4.74787,0.436758,1.11163,85.2706,0.000390472,0.00269408,0.028542500000000002,0.033414,2.65532,0.016444900000000002,0.00986631,0.816296,40
1227537,10-1-083824,-80.5934,293.254,-80.5957,293.252,6.23062,0.115336,6.575360000000001,6.0386,0.395727,1.08889,86.2759,0.00076024,0.00344933,0.05161659999999999,0.026602499999999998,3.6717,0.019185,0.00980181,0.710279,42
1227553,10-1-083843,-79.2769,286.291,-79.2699,286.291,6.78408,0.12762300000000001,7.51295,6.5917699999999995,0.479782,1.13975,93.8018,0.000896523,0.00163956,0.0639077,0.0190153,1.6571,0.0144119,0.010237399999999999,0.728695,39
1227554,10-1-083844,-79.0204,286.70599999999996,-79.0269,286.70099999999996,5.7173099999999994,0.375808,7.12436,4.8053099999999995,0.738284,1.4826,119.36,0.000626136,0.00130804,0.051284800000000005,0.0202914,0.8616309999999999,0.00514266,0.012373299999999999,0.5566300000000001,34
1227555,10-1-083845,-79.1674,286.486,-79.1675,286.488,6.3506,0.053001400000000004,6.42253,5.886830000000001,0.399829,1.091,156.453,0.000592339,0.00183055,0.022634400000000002,0.100969,2.4700599999999997,0.03679280000000001,0.0191035,0.343927,21
1227583,10-1-083880,-77.84899999999999,287.719,-77.8525,287.7,7.05421,0.10978199999999999,7.17955,6.54723,0.41035200000000005,1.0965799999999999,135.55100000000002,0.00042715099999999996,0.00317385,0.0202974,0.0503,2.27738,0.016590200000000003,0.00897693,0.707755,38
1227724,10-1-084066,-76.0803,282.447,-76.082,282.447,6.39898,0.0969188,6.58957,6.30419,0.291104,1.0452700000000001,90.1638,0.000683197,0.00156353,0.053894500000000005,0.0284774,4.91287,0.0293762,0.00976626,0.7959729999999999,57
1227825,10-1-084182,-75.5322,282.134,-75.5299,282.159,6.03694,0.237771,6.62407,5.10142,0.637883,1.2984799999999999,94.2569,0.000542588,0.00222433,0.031220400000000002,0.0411754,1.22074,0.00869059,0.0121365,0.7267520000000001,34
1227846,10-1-084203,-74.2279,282.756,-74.2295,282.755,5.71732,0.149812,5.94155,5.56112,0.352078,1.06841,82.1747,0.0012539,0.00315976,0.102718,0.0656793,8.04613,0.05209580000000001,0.0223694,0.8282950000000001,50
